,station_id,type,model,score
0,27.0,train,LogisticRegression,0.9331590797381943
1,27.0,test,LogisticRegression,0.9333903306437727
2,27.0,train,DecisionTreeClassifier,0.9988411263564833
3,27.0,test,DecisionTreeClassifier,0.8935426797048014
4,27.0,train,KNeighborsClassifier,0.9971825549033768
5,27.0,test,KNeighborsClassifier,0.8897309845691657
6,27.0,train,RandomForestClassifier,0.9988182269478605
7,27.0,test,RandomForestClassifier,0.9198772182937618
8,28.0,train,LogisticRegression,0.9633625818756087
9,28.0,test,LogisticRegression,0.9891556679669178
10,28.0,train,DecisionTreeClassifier,0.9990545815582884
11,28.0,test,DecisionTreeClassifier,0.9403606267329261
12,28.0,train,KNeighborsClassifier,0.9970132628467727
13,28.0,test,KNeighborsClassifier,0.9613932280070534
14,28.0,train,RandomForestClassifier,0.9990292286415989
15,28.0,test,RandomForestClassifier,0.9791870758598579
16,29.0,train,LogisticRegression,0.9648600396323337
17,29.0,test,LogisticRegression,0.9762659636998379
18,29.0,train,DecisionTreeClassifier,0.9998789602687082
19,29.0,test,DecisionTreeClassifier,0.9429819092911553
20,29.0,train,KNeighborsClassifier,0.9997063968680152
21,29.0,test,KNeighborsClassifier,0.9562426897980751
22,29.0,train,RandomForestClassifier,0.9998626035482634
23,29.0,test,RandomForestClassifier,0.9692570756817412
24,30.0,train,LogisticRegression,0.9841895940180202
25,30.0,test,LogisticRegression,1.0
26,30.0,train,DecisionTreeClassifier,0.9988223161279717
27,30.0,test,DecisionTreeClassifier,0.9860415961621811
28,30.0,train,KNeighborsClassifier,0.99824165255218
29,30.0,test,KNeighborsClassifier,0.9923498922394599
30,30.0,train,RandomForestClassifier,0.998792874031171
31,30.0,test,RandomForestClassifier,0.9953036591085858
32,31.0,train,LogisticRegression,0.9689196656337412
33,31.0,test,LogisticRegression,0.9974737129591698
34,31.0,train,DecisionTreeClassifier,1.0
35,31.0,test,DecisionTreeClassifier,0.948497586520136
36,31.0,train,KNeighborsClassifier,0.9991095909367237
37,31.0,test,KNeighborsClassifier,0.9694470667165394
38,31.0,train,RandomForestClassifier,0.9999799586384471
39,31.0,test,RandomForestClassifier,0.9932612554845068
40,32.0,train,LogisticRegression,0.9331638008358938
41,32.0,test,LogisticRegression,0.9461345730248354
42,32.0,train,DecisionTreeClassifier,1.0
43,32.0,test,DecisionTreeClassifier,0.8997975408035433
44,32.0,train,KNeighborsClassifier,0.9984818412565125
45,32.0,test,KNeighborsClassifier,0.8961045900646564
46,32.0,train,RandomForestClassifier,0.9999742361495448
47,32.0,test,RandomForestClassifier,0.9304721870936715
48,33.0,train,LogisticRegression,0.9731152764408431
49,33.0,test,LogisticRegression,0.9840734077860701
50,33.0,train,DecisionTreeClassifier,0.9997472886691272
51,33.0,test,DecisionTreeClassifier,0.9669801518740835
52,33.0,train,KNeighborsClassifier,0.9978433664093482
53,33.0,test,KNeighborsClassifier,0.9545654251939987
54,33.0,train,RandomForestClassifier,0.9997366568008381
55,33.0,test,RandomForestClassifier,0.9764915780536606
