,station_id,type,model,score
0,34.0,train,LogisticRegression,0.9651143866352508
1,34.0,test,LogisticRegression,0.9790416139738406
2,34.0,train,DecisionTreeClassifier,1.0
3,34.0,test,DecisionTreeClassifier,0.9310629404674967
4,34.0,train,KNeighborsClassifier,0.9945924682209367
5,34.0,test,KNeighborsClassifier,0.9495840977503874
6,34.0,train,RandomForestClassifier,0.9999746470833105
7,34.0,test,RandomForestClassifier,0.9726294165494066
8,35.0,train,LogisticRegression,0.9928897103624252
9,35.0,test,LogisticRegression,0.9803953000967767
10,35.0,train,DecisionTreeClassifier,0.9999836432260465
11,35.0,test,DecisionTreeClassifier,0.9533423579074862
12,35.0,train,KNeighborsClassifier,0.9994005242346052
13,35.0,test,KNeighborsClassifier,0.9701001608986576
14,35.0,train,RandomForestClassifier,0.9999656507746977
15,35.0,test,RandomForestClassifier,0.9790920803424589
16,36.0,train,LogisticRegression,0.992053905207898
17,36.0,test,LogisticRegression,1.0
18,36.0,train,DecisionTreeClassifier,0.9999983643279555
19,36.0,test,DecisionTreeClassifier,0.9946119729975241
20,36.0,train,KNeighborsClassifier,0.9998347971235071
21,36.0,test,KNeighborsClassifier,0.9952917846689109
22,36.0,train,RandomForestClassifier,0.9999893681317109
23,36.0,test,RandomForestClassifier,1.0
24,37.0,train,LogisticRegression,0.9756489324377484
25,37.0,test,LogisticRegression,0.9710530846825666
26,37.0,train,DecisionTreeClassifier,0.9993579987225402
27,37.0,test,DecisionTreeClassifier,0.9492011470708726
28,37.0,train,KNeighborsClassifier,0.9983250718264487
29,37.0,test,KNeighborsClassifier,0.9586413266124004
30,37.0,train,RandomForestClassifier,0.9993171069214281
31,37.0,test,RandomForestClassifier,0.969969542062234
32,38.0,train,LogisticRegression,0.9907175611475548
33,38.0,test,LogisticRegression,0.9964168878281056
34,38.0,train,DecisionTreeClassifier,0.9988321301602386
35,38.0,test,DecisionTreeClassifier,0.9883897666078882
36,38.0,train,KNeighborsClassifier,0.9987977810473044
37,38.0,test,KNeighborsClassifier,0.992444887756859
38,38.0,train,RandomForestClassifier,0.9988280409801275
39,38.0,test,RandomForestClassifier,0.9964168878281056
