,station_id,type,model,score
0,34.0,train,LogisticRegression,0.9993269209536949
1,34.0,test,LogisticRegression,0.9978536950287659
2,34.0,train,DecisionTreeClassifier,1.0
3,34.0,test,DecisionTreeClassifier,0.9978536950287659
4,34.0,train,KNeighborsClassifier,0.9999820076075107
5,34.0,test,KNeighborsClassifier,0.9978536950287659
6,34.0,train,RandomForestClassifier,0.9999983643279555
7,34.0,test,RandomForestClassifier,0.9978536950287659
8,35.0,train,LogisticRegression,0.9490093928774428
9,35.0,test,LogisticRegression,0.9927744034578369
10,35.0,train,DecisionTreeClassifier,0.9995976233607445
11,35.0,test,DecisionTreeClassifier,0.9475031021973651
12,35.0,train,KNeighborsClassifier,0.9938081432199127
13,35.0,test,KNeighborsClassifier,0.9522261605780478
14,35.0,train,RandomForestClassifier,0.9995321962649306
15,35.0,test,RandomForestClassifier,0.9835717127098065
16,36.0,train,LogisticRegression,0.9532696675251219
17,36.0,test,LogisticRegression,0.923154563644028
18,36.0,train,DecisionTreeClassifier,1.0
19,36.0,test,DecisionTreeClassifier,0.8655130648522523
20,36.0,train,KNeighborsClassifier,0.9961635312196634
21,36.0,test,KNeighborsClassifier,0.8865367602966235
22,36.0,train,RandomForestClassifier,0.999901859677331
23,36.0,test,RandomForestClassifier,0.909769101520522
24,37.0,train,LogisticRegression,0.9912826858389239
25,37.0,test,LogisticRegression,0.9849075871732302
26,37.0,train,DecisionTreeClassifier,1.0
27,37.0,test,DecisionTreeClassifier,0.9778215152972469
28,37.0,train,KNeighborsClassifier,0.9994700422575873
29,37.0,test,KNeighborsClassifier,0.979905479460188
30,37.0,train,RandomForestClassifier,0.9999648330510436
31,37.0,test,RandomForestClassifier,0.984221838282006
32,38.0,train,LogisticRegression,0.9830928759121939
33,38.0,test,LogisticRegression,0.9973876232715269
34,38.0,train,DecisionTreeClassifier,1.0
35,38.0,test,DecisionTreeClassifier,0.936350034732736
36,38.0,train,KNeighborsClassifier,0.9971048604812638
37,38.0,test,KNeighborsClassifier,0.9722791205789977
38,38.0,train,RandomForestClassifier,0.9999950929838666
39,38.0,test,RandomForestClassifier,0.983598430199075
