,station_id,type,model,score
0,41.0,train,LogisticRegression,0.8854726969533154
1,41.0,test,LogisticRegression,0.824691709859941
2,41.0,train,DecisionTreeClassifier,0.9993898943274075
3,41.0,test,DecisionTreeClassifier,0.7520231076596073
4,41.0,train,KNeighborsClassifier,0.9951894885171734
5,41.0,test,KNeighborsClassifier,0.7574734754703762
6,41.0,train,RandomForestClassifier,0.9992524978756709
7,41.0,test,RandomForestClassifier,0.8035848933378457
8,42.0,train,LogisticRegression,0.9422967616147028
9,42.0,test,LogisticRegression,0.9155638280818624
10,42.0,train,DecisionTreeClassifier,0.9995109340586994
11,42.0,test,DecisionTreeClassifier,0.8581984100125275
12,42.0,train,KNeighborsClassifier,0.995952529525925
13,42.0,test,KNeighborsClassifier,0.8759239798372014
14,42.0,train,RandomForestClassifier,0.999391529999452
15,42.0,test,RandomForestClassifier,0.9039506260798319
16,45.0,train,LogisticRegression,0.8355160013706932
17,45.0,test,LogisticRegression,0.6763502722215295
18,45.0,train,DecisionTreeClassifier,0.999046403198066
19,45.0,test,DecisionTreeClassifier,0.6705941375891326
20,45.0,train,KNeighborsClassifier,0.9946407205462491
21,45.0,test,KNeighborsClassifier,0.6462901281845763
22,45.0,train,RandomForestClassifier,0.9988787468135064
23,45.0,test,RandomForestClassifier,0.676133563697463
24,46.0,train,LogisticRegression,0.9713945494500462
25,46.0,test,LogisticRegression,0.9483996223928184
26,46.0,train,DecisionTreeClassifier,0.9998626035482634
27,46.0,test,DecisionTreeClassifier,0.9261320793925036
28,46.0,train,KNeighborsClassifier,0.9984428402136515
29,46.0,test,KNeighborsClassifier,0.9280468327900777
30,46.0,train,RandomForestClassifier,0.999820893911129
31,46.0,test,RandomForestClassifier,0.9421922590527759
32,47.0,train,LogisticRegression,0.9086550768397834
33,47.0,test,LogisticRegression,0.8759863206454945
34,47.0,train,DecisionTreeClassifier,0.9994700422575873
35,47.0,test,DecisionTreeClassifier,0.7999186600882271
36,47.0,train,KNeighborsClassifier,0.9966305155883635
37,47.0,test,KNeighborsClassifier,0.8049801399996438
38,47.0,train,RandomForestClassifier,0.9994046153758079
39,47.0,test,RandomForestClassifier,0.859240392093998
40,48.0,train,LogisticRegression,0.8745930243494319
41,48.0,test,LogisticRegression,0.848425746160103
42,48.0,train,DecisionTreeClassifier,0.9998347971235071
43,48.0,test,DecisionTreeClassifier,0.7706333232400596
44,48.0,train,KNeighborsClassifier,0.9953955831947783
45,48.0,test,KNeighborsClassifier,0.779559933265649
46,48.0,train,RandomForestClassifier,0.9997219357524377
47,48.0,test,RandomForestClassifier,0.8211590640566648
48,49.0,train,LogisticRegression,0.9610415632444863
49,49.0,test,LogisticRegression,0.9321435144779106
50,49.0,train,DecisionTreeClassifier,0.9999460228225321
51,49.0,test,DecisionTreeClassifier,0.8935812716337448
52,49.0,train,KNeighborsClassifier,0.9979259678475946
53,49.0,test,KNeighborsClassifier,0.9038734422219451
54,49.0,train,RandomForestClassifier,0.9998536073520187
55,49.0,test,RandomForestClassifier,0.9243776309305405
56,50.0,train,LogisticRegression,0.9439181855286932
57,50.0,test,LogisticRegression,0.9068836126795267
58,50.0,train,DecisionTreeClassifier,0.9998086000731246
59,50.0,test,DecisionTreeClassifier,0.8669854953719371
60,50.0,train,KNeighborsClassifier,0.9968476268453939
61,50.0,test,KNeighborsClassifier,0.8773875045271301
62,50.0,train,RandomForestClassifier,0.9996261975787091
63,50.0,test,RandomForestClassifier,0.8993017829471172
64,51.0,train,LogisticRegression,0.9293629649060966
65,51.0,test,LogisticRegression,0.877960446241443
66,51.0,train,DecisionTreeClassifier,0.99954667300614
67,51.0,test,DecisionTreeClassifier,0.8112706244174103
